IP地址,端口号,ip:port,数据中心,城市,网络延迟,下载速度
172.67.64.56,443,172.67.64.56:443,SEA,Seattle,5ms,500.55MB/s
104.27.87.28,443,104.27.87.28:443,SEA,Seattle,6ms,437.58MB/s
104.16.242.170,443,104.16.242.170:443,SEA,Seattle,5ms,435.73MB/s
104.27.51.83,443,104.27.51.83:443,SEA,Seattle,5ms,427.80MB/s
172.67.124.184,443,172.67.124.184:443,SEA,Seattle,5ms,425.28MB/s
172.67.122.19,443,172.67.122.19:443,SEA,Seattle,5ms,411.77MB/s
104.25.37.93,443,104.25.37.93:443,SEA,Seattle,5ms,411.73MB/s
172.67.143.243,443,172.67.143.243:443,SEA,Seattle,5ms,404.34MB/s
104.25.232.23,443,104.25.232.23:443,SEA,Seattle,5ms,375.39MB/s
104.19.135.91,443,104.19.135.91:443,SEA,Seattle,5ms,282.29MB/s
